,ion,pos,dist
119,Zr,[2.56093993 7.44045456 7.24543561],0.0
72,O,[1.49676686 5.96253677 8.13244385],2.0257070230904897
167,O,[1.74686647 9.07800313 8.17188392],2.0500213199726733
103,O,[4.38809682 7.28948457 8.16969518],2.053180456225935
98,O,[3.36735583 8.84315516 5.87709134],2.119019025952796
99,O,[3.41629413 6.07509599 5.83961023],2.138265610318578
100,O,[0.94912209 7.39181061 5.83843406],2.1400879275230564
114,Fe1,[2.58344213 7.50680226 4.2352919 ],3.0109589004227577
173,Fe2,[ 2.55832889 10.46076911  6.70840799],3.067687310231346
83,Fe2,[-0.0760512   5.93327889  6.73720335],3.0795455392538216
113,Fe2,[5.24385005 5.87755693 6.73234825],3.1470485091897404
162,O,[ 4.12693255 10.3778095   8.18948676],3.4600028179997913
58,Fe1,[-0.04655229  8.88689956  9.06934621],3.4954067991271325
508,Fe1,[5.1535068  8.91348914 9.07056966],3.4960475033357836
73,O,[-0.81373536  7.29613483  8.18186118],3.505161096276621
118,Fe1,[2.54260524 4.41984921 9.03248356],3.5096913254828097
107,O,[4.44775279 4.59146995 8.14755791],3.53420439802832
166,O,[ 3.56378936  8.89026611 10.49927875],3.7006966473110947
105,O,[ 0.78486408  7.53557179 10.499107  ],3.708081748224073
22,Fe1,[5.13671729 8.8586349  4.94633059],3.732525736443007
104,O,[ 3.3524967   5.8123869  10.51252118],3.735105695917616
